rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing hero CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"Hero has two equal CTAs (SHOP MEN and SHOP WOMEN) that split focus and delay the path to a single next step, reducing click-through.","The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user focus and delay the path to a single product or category, reducing click-through to a defined next step.",h1: Wildly Comfortable. Super Natural.; cta: Shop All (primary) | Shop Men / Shop Women (secondary links); notes: A single primary CTA to 'Shop All' reduces decision load; gender-specific CTAs can be secondary links below.,"Hero section contains both 'SHOP MEN' and 'SHOP WOMEN' CTAs, with no primary/secondary hierarchy; body_sample shows 'SHOP MEN SHOP WOMEN' immediately after the headline. | H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline visible in the crawl.","Funnel-Path & Commerce Clarity, Message Clarity",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_hero_ctas.html
2,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"Hero headline is abstract and doesn't address visitor intent for comfortable, sustainable shoes, causing reliance on secondary content.","The hero headline and subhead are abstract and don't directly address the visitor's intent to find comfortable, sustainable shoes, causing them to rely on secondary content or navigation.","h1: Shoes That Feel Like Nothing. Made From Nature.; cta: Shop Men / Shop Women; notes: Add a subheadline: 'Find your perfect fit for all-day comfort, made from sustainable materials.' This directly addresses comfort and sustainability, the brand's key differentiators.",H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline visible in the crawl.,Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,Shipping delay warning,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,Prominent shipping delay notice on homepage may deter purchases by creating uncertainty about delivery timing.,The prominent shipping delay notice on the homepage may deter immediate purchases by creating uncertainty about delivery timing.,"h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Soften the message to 'Free shipping on orders over $100' and move the delay notice to a less prominent location, or add a reassurance like 'Most orders ship within 2-3 days' if accurate.","Body sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_shipping_delay_warning.html
4,Mega-menu choice overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"Mega-menu presents 20+ nav items with multiple sub-levels, risking choice overload and decision paralysis.","The mega-menu presents 20+ nav items with multiple sub-levels, risking choice overload and decision paralysis for users.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Simplify the nav to top-level categories (e.g., Men, Women, Sale) with limited sub-items, or use a mega-menu with clear grouping and visual hierarchy to reduce cognitive load.","nav_items list contains 20 items including 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_mega_menu_choice_overload.html
5,Heavy third-party script load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"Homepage loads 63 scripts, likely causing slow interaction readiness on mobile and hurting conversion.","The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 41 inline and 22 external <script> tags, 697 KB of HTML.",Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_heavy_third_party_script_load.html
6,Hidden shipping cost,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"Product page hides $5 shipping fee and $100 free-shipping threshold, causing unexpected costs at checkout and potential abandonment.","The product page shows a $10 price but does not disclose the $5 shipping fee or the $100 free-shipping threshold, leading to unexpected cost at checkout and potential cart abandonment.","h1: Anytime Ankle Sock; cta: Add to Cart (when in stock); notes: Display 'Free shipping on orders over $100' and note that shipping is $5 for orders below that, to set clear expectations before checkout.","Product page prices list '$10' but no shipping information is visible in the body_sample; the homepage and collection pages show 'Free ground shipping on orders over $100' and 'Shipping $5.00' in the cart drawer, indicating a threshold that is not communicated on the product page. | Homepage body sample: 'Free ground shipping on orders over $100' appears in the top bar, but the hero section and product pages do not mention this threshold. The cart drawer shows 'Spend more to earn free shipping! Shipping $5.00' without specifying the exact amount needed.","Funnel-Path & Commerce Clarity, Pricing Transparency",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_6_hidden_shipping_cost.html
7,Missing review count,HIGH,Product Page,Medium,2-5 days,4,10,no,trust,"Product page lacks visible review count, reducing trust and increasing hesitation for first-time buyers.","The product page lacks a visible review count, which may reduce trust and increase hesitation for first-time buyers.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a review summary near the price, e.g., '4.8/5 from 2,300+ reviews' to build trust at the point of purchase.",H2s include 'Reviews for Anytime Ankle Sock' but no review count or rating is visible in the extracted content.,Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_missing_review_count.html
8,Size availability not shown,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"Product pages do not display size availability upfront, forcing users to click through and potentially discover their size is unavailable, causing friction.","Product pages do not display size availability upfront, forcing users to click through to select a size and potentially discover their size is unavailable, causing friction and potential abandonment.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Display available sizes and stock status directly on the product page, e.g., 'Sizes: S, M, L' or 'Out of stock' to reduce friction.","On the Anytime Ankle Sock product page, the CTA is 'Get Notified' instead of 'Add to Cart', indicating the product is out of stock, but the page does not show which sizes are unavailable until the user interacts with the size selector. The shop-all page includes a size filter, but individual product pages do not list available sizes in the main content.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_size_availability_not_shown.html
9,Unclear size selector,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"Size selector may confuse users due to multiple options and half-size note, leading to hesitation or abandonment.","The size selector on the product page may confuse users due to the presence of multiple size options and a note about half sizes, potentially leading to hesitation or abandonment.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Clarify the size guidance with a tooltip or visual aid, and ensure the CTA reflects availability. If out of stock, provide a clear 'Notify Me' flow with expected restock date.","On /products/anytime-ankle-sock, the body sample includes 'Size Most of our shoes only come in full sizes. If you're a half size, select your nearest whole size too.' and the form labels include 'XS', 'S', 'M', 'L', 'XL', etc. The direct_signals show size_selector: true.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_unclear_size_selector.html
10,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"41 unlabelled interactive controls make the site unusable for screen reader and voice control users, hurting trust and accessibility.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_controls_without_accessible_names.html
